ID,Manchu,English
31, jiyangiy_n manggitu g_sai ejen hife. tui janggin ehene de emu nirui ilata bayara dahame dailara sunja ing-ni sunja minggan niowanggiyan tu cooha be bufi.,"General Manggitu gave Lieutenant-general Hife and Major-general of the Guards Ehene three bayara guards from each niru, along with 5,000 Green Standard troops from the five expeditionary battalions."
32,neneme uba_aha h_lha ma ciyang yen be dailame bin jeo baru jurambuha.,bidding them to leave for Binzhou to fight against the rebellious bandit Ma Chengyin.
33,tere inenggi mini jak_n morin h_lhabufi.,This same day eight horses of mine were stolen.
34,mini dolo ali_ame.,I felt sad and distraught.
35,jiyangiy_n de alara jakade. jianggiyun sunja ing-ni hafasa. irgen de selgiyefi baicabuha. naranggi baha ak_,"When I reported the theft to the general, he informed the officers and commoners of the five battalions to investigate, but in the end I did not get [the horses] back"
36,juwan ninggude,On the sixteenth 
37,jiyangiy_n ecu. cooha gaifi yung _un hiyan ci cuwan tefi. nan ning de jihe. ,"General Ecu, at the head of his troops, came by boat from Yongchun county to Nanning."
38,orin de yung _un-i coohai morisa isinjiha,The military horses of Yongchun arrived on the twentieth.
39,jiyangiy_n gisun morin ak_ uksin sade yung _un-i alban-i morin be tatame gaifi bu seme tatarade lak seme burak_ ofi. genere k_waran da be uhuken seme dangsifi .,The general ordered that the government horses [that arrived] from Yongchun be requisitioned and given to the armored soldiers who had no horses. Because at the time of the requisition [the soldiers] were unwilling to give up [the horses] [the general] reprimanded the camp commanders in charge saying that they were weak.
40,jiyanggiy_n manggitu. tuwakiyara k_waran-i da janggisa be gajifi . morin be burak_ngge adarame . emke hono fa__ame yabuki serak_ jiler_embi. te uthai alban-i morin be bu seme.,General Manggitu summoned the officers and camp commanders on duty and told them: “Why are the horses not being handed over? You are ignoring [my order]. And refusing to make even a single effort! You must give up the government horses immediately.”
41,morin be tatame gaifi.genere cooha de icihiyame buhe.,Then the horses were requisitioned and allocated in an appropriate manner to the departing soldiers.
42,orin sunja de,On the twenty-fifth
43,bi. jiyangiy_n mang. g_sai ejen lebei. hife sebe dahame. emu nirui duite ton-i cooha be gaifi. nan ning fuci. lio jeo baru jurafi yabume. jin ceng sy be dulefi . gun luwan guwan be tucifi .,"I followed General Manggitu, Lieutenant-generals Lebei and Hife, who were leading a force made of four soldiers from each company. From the city of Nanning we set out towards the prefectural city of Liuzhou, passed Jinchengzhai, and crossed the Kunlun Pass."
44,sunja inenggi emu tangg_ nadanju babe yabufi. g_sin de bin jeo de isinafi.,"Covering 170 li in five days, on the thirtieth we reached Binzhou. "
45,neneme genehe bayara be acafi. aliha cooha be acabufi emu meyen obuha.,"We caught up with the bayara troops that had set off earlier and, joining the Manchu-Mongol cavalry, we formed a squadron."
46,duin biyai ice de. ,"On the first day of the fourth month,"
47,mini jalan-i booju nirui hoo_an-i kutule. ,"the servants of Hoo_an of the Booju company of my regiment, "
48,g_wa-i waha irgen-i ihan-i yali be dendefi gajirede. jiyangiy_n-i gocika uksin de nambufi.,brought and shared the meat of a cow belonging to common people that had been killed by others. They were apprehended by the armored soldiers of general's personal guard. 
49,jiyanggiyun. mimbe. k_waran-i da be gamafi. ,"The general summoned me and the camp commanders,"
50,cacari de tebufi.,made us sit in [his] tent. 
51,sain gisun-i necihiyere de. be yertehe.,"He comforted us with good words, but we felt ashamed."
52,weile gisurefi. ganduhai ilan biyai funglu. mimbe. arahai janggin dandai be ninggun biyai funglu faitame. ,"After the crime was adjudicated, Ganduhai was sentenced three months of salary, I and the assistant adjutant Dandai to a fine of six months of salary,"
53,bo_ok_ be nadanju. kutule-i ejen hoo_an be jak_nju. kutule be tangg_ tantaha.,"the corporal to seventy cane strokes, the slave master Hoo_an to eighty, and the servants to a 100."
54,uheri coohai jetere bele lakcafi. ,"after the food supplies for the whole army had been used up,"
55,ice duide,"On the fourth, "
56,jiyangiy_n ing gurime. bin jeo ci tofohon bai dubede genefi ing ilifi. teisu teisu ga_an de bele baisu. handu be niohu seme selgiyehe.,"the general gave the order to move camp, to set up a new camp at a distance of 15 li from Binzhou, to search for rice in every single village, and to pound the unhusked rice. "
57,bi booi juse be ga_an de unggifi. eye feteme handu baifi gajifi. ,"I sent the family boy-servants to the village. Digging up pits they found the unhusked rice, and brought it [to me]. "
58,na be sangga arafi bele niohuhe.,"Then they dug holes into the ground, and pounded the rice."
59,ice ninggude,On the sixth
60,bin jeo-i bira be fukiyoo ca seme. niowanggiyan tu de afabuha.,ordered the Green Standard troops to build a pontoon bridge across the river at Binzhou.
61,ice jak_n de,On the eighth 
62,jurgan ci unggihe bithede. uba_aha h_lha ma ciyang yen be kemungge wang. anda wang _ang jy sin ni emgi acafi dailakini. jiyangiy_n manggitu si y_n nan be dailame dosika ak_ babe hudun boola sehebi. ,"a document arrived from the Ministry, which said: “The Frugal Prince and the Anda Prince Shang Zhixin must join and subdue the rebellious bandit Ma Chengyin after having joined. You, General Manggitu, must report at once about the reason why you have not yet attacked and invaded Yunnan.” "
63,geli fugiyan-i goloi hai cing hiyan. gin men. hiya men-i jergi babe baha seme donjiha.,"We heard that the localities of Haicheng county, Jinmen and Xiamen in the province of Fujian had also been taken."
64,juwan ilan de ,On the thirteenth
65,geli y_n nan be gaime dosi seme hacihiyara bithe isinjiha.,an urgent dispatch arrived ordering us to proceed with the occupation of Yunnan.
66,juwan ninggude,On the sixteenth
67,cooha kutule be irgen be nungnembi seme. gemu karun ci ume tucibure seme fafun-i bithe selgiyehe.,"because the troops and servants were harming the civilian population, a legal decree was issued to the effect that nobody was allowed to leave his post."
68,juwan uy_n de,On the nineteenth
69,bin jeo-i bira be doofi. tofohon ba yabufi. ma moo san-i ebele too deng sere babe ing iliha.,"crossed the river, marched for 15 li, and set up camp in a place called Taodeng on the near side of the Shamao Mountain."
70,bi orhoi tatan araha.,I made a grass shelter.
71,anda wang-ni yabubuha bithede. ,A dispatch sent by the Anda Prince read:
72,dzungdu gin mukei cooha be gaifi. juwan ilan de cuwan be jurambi.,Governor-general Jin [Guangzu] shall take the marines and set out by boat on the thirteenth. 
73,mini beye. tidu jelken-i emgi cooha be gaifi. tofohon de olhon be jurambi.,"I myself, together with Provincial Commander-in-Chief Jelken, will proceed with our troops by land on the fifteenth."
74,lai bin hiyan be wesihun jiyangiy_n gaisu . ,Honorable General shall take Laibin county 
75,bi u siowan hiyan be gaifi. dere acafi hebdeki. eici kemungge cin wang be aliyafi lio jeo fu be gaire. eici musei cooha uthai lio jeo fu be gaire babe ebe_eki sehebi:,"after I take Wuxuan county, we shall meet in person to deliberate whether, we should wait for the Frugal Prince of the Blood before we seize the prefectural city of Liuzhou, or whether our troops should immediately [proceed to] take Liuzhou Fu."
76,yun gui-i dzungdu baturu bodohonggo jiyangiy_n joo liyang dung-ni wesimbuhengge. fudaraka h_lha u san gui.u guwe gui bucehe:funcehe u ing ki.u _i fan.hu guwe ju.ma boo se gemu silhi meijehebi. muten ak_ urse. ere sucuwan be baha ucuri. duin jugun-i sasa yun gui be gaime dosici.emgeride toktobuci ombi seme narh__ame wesimbuhe seme donjiha.,"I heard that the Governor-general of Yunnan and Guizhou Heroic Strategist General Zhao Liangdong had secretly memorialized [as follows]:
The rebellious bandits Wu Sangui and Wu Guogui have died. The remaining Wu Yingqi, Wu Shifan, Hu Guozhu, Ma Bao, and others have lost their nerve. They are incompetent people. This is the time to take Sichuan. If we proceed to take Yunnan and Guizhou with a syn- chronized attack from four routes, it is possible to suppress the rebellion in one stroke."
77,orin ilan de ,On the twenty-third
78,lai bin-i baru ibembi seme gisurefi nakaha.,the consultation ended with a decision to advance towards Laibin.
79,emu biyai jetere bele niohu seme selgiyehe.,issued an order to pound enough rice for one month. 
80,bi eye fetebume handu baifi. bele niohuhe.,"I ordered people to dig a storage pit, take the unhusked rice, and pound it to get husked rice."
81,orin jak_n de,On the twenty-eighth
82,h_lha-i mejige be gaime. cooha unggirede. bi genehe bihe.,"some soldiers were sent to gather information about the rebels. I went, too."
83,orin uy_n de mini beye fudame nimehe.,On the twenty-ninth I became sick and vomited.
84,sunja biyai ice sunja de,On the fifth of the fifth month 
85,elhe cin wang-ni beye cooha gaifi. beging-ni baru bederehe seme donjifi. bi elhe wang be dahame tucifi. elemangga bahafi bedererak_ seme gusucehe.,"I heard that the Peaceful Prince of the Blood was taking in person his troops back to Beijing. I left to follow the Peaceful Prince, but I did not manage to be sent back with him. I felt demoralized."
86,ice nadan de,On the seventh
87,y_n nan ci jihe h_lha fan ci han. jan yang-ni cooha. ma ciyang yen-i cooha lai bin-i bira be doofi. da _i kiyoo de iliha seme donjifi. ,"I heard that the soldiers of the rebels Fan Qihan and Zhan Yang who had come from Yunnan, and the soldiers of Ma Chengyin, after crossing the river at Laibin, camped at Dashiqiao."
88,jiyangiy_n manggitu geren de selgiyefi ing be akdulara de. ,Thereupon by General Manggitu issued a universal order to fortify every encampment. 
89,mini beye cooha be kadalame dobori dulime keremu ulan weilehe.,I was put personally in charge of the troops to construct during the night shift a camp wall and a moat. 
90,coohai urse gasaha.,All the soldiers complained.
91,juwan ilan de h_lha ibeme jifi. bakcilame sunja bai dubede. alin be gaime ing iliha.,"On the thirteenth the rebels advanced, and facing us at a distance of 5 li, they occupied the mountain top and set up camp there."
92,jiyanggiyun. niowanggiyan tu be musei cooha de kamcibume keremu tuwakiyabuha.,The general ordered the Green Standard forces to combine with our troops and guard the camp wall.
93,mini beye dobori inenggi ak_ uksilehei jucelehe.,I wore my armor night and day and stood guard.
94,tofohon de,On the fifteenth
95,uba_aha h_lha ma ciyang yen-i fejergi holo jiyangiy_n ma ciyang liyei. r'ao i lung. y_n nan ci jihe h_lha-i holo jiyangiy_n fan ci han. jan yang uheri tumen funcere h_lha be gaifi. ing be afanjime hanci latunjifi. ,"the false generals Ma Chenglie and Rao Yilong, subordinate to the rebel bandit Ma Chengyin, together with the false generals Fan Qihan and Zhan Yang, who had come from Yunnan, jointly leading over 10,000 rebels, advanced forward, pressing on to attack [our] camp. "
96,too deng-ni bade hiyahan kalka miyoocan sufan duin be faidafi ambarame jehe be. jiyangiy_n manggitu ing toome emu janggin. juwan uksin be werifi. uheri amba cooha be gaifi tucifi.,"In the locality of Taodeng, they arranged in good order their chevaux-de-frise, shields, muskets, and elephants in four rows, and came forward in an imposing manner. General Manggitu, leaving in each encampment one officer and ten armored soldiers, came out at the head of the whole army. "
97,cin-i dere de hife. masitai be jai meyen-i cooha be gaifi faida. ,He ordered Hife and Masitai to take position in front with the troops of the second squadron. 
98,ici ergi _ak_aha de ehene uju meyen-i cooha be gaifi faida.,Then he ordered Ehene to take position on the right flank at the head of the soldiers of the first squadron.
99,hashu ergi _ak_aha de lebei _ak_aha meyen-i cooha be gaifi faida seme afabufi.,He also ordered Lebei to deploy on the left flank with the troops of the wing column.
100,niowanggiyan tu be juleri sindafi.,He lined up the Green Standard troops in front. 
101,ibeme poo sindame. ,moved forward firing cannon. 
102,h_lha uthai fondolome latunjifi.,The rebels immediately rushed forward breaking through.
103,niowanggiyan tu alime muterak_ a__ame. ,The Green Standard troops were not able to hold [them] and vacillated.
104,gulu suwayan gulu fulgiyan juwe hontoho fakcame angga arame ba buhe.,"The Plain Yellow and the Plain Red [Banners] broke into two halves, creating an opening."
105,h_lha bireme emu dalgan-i fondolofi. baksalafi bedererede.,As the rebels penetrated in one whole group [we] split into small groups and withdrew. 
106,tuwaci jebele galai baru siribume kubuhe lamun. h_lhai hiyahan-i hanci ilinaha. ,"One could see that as our western flank was being pressed on, the Bordered Blue [Banner] was being pushed up against the rebels’ chevaux-de-frise."
107,h_lhai piciyang turi tashara adali sindambi.,The rebels’ musket fire sounded like frying beans.
108,tuwaci uju meyen-i cooha sufan be birebufi. ,"Following that, the soldiers of the first column were attacked by the elephants. "
109,kubuhe suwayan-i bayara janggin walda tu. aliha cooha-i funde bo_ok_ ulehi-i tu gaibuha.,"The flags of Major-general of the Guards Walda of the Yellow Banner, and of Lieutenant Ulehi of the Manchu-Mongol cavalry were captured."
110,sufan halgime jai meyen-i cooha de nikenjihe be. meni geren-i gabtara de. sirdan sengge bula-i adali.,"As the elephants closed in on the encircled soldiers of the second column, the arrows shot by all of my men looked like the quills of a porcupine."
111,sufan de hadara jakade. sufan burulame alin-i baru genehe. mini dolo faijuma seme g_nime tuksitehe.,The elephants fled towards the hills [but] I was greatly alarmed and had a strange feeling. 
112,h_lha necin baci ikume. alin-i luku bujan de kurelefi.,The rebels withdrew from the plain and split into groups in the thick forest of the mountain. 
113,yamjitala bakcilame hiyahan faidafi bihe.,"As evening fell, they lined up chevaux-de-frise facing opposite."
114,musei cooha inu afahak_. ,Our soldiers also did not attack 
115,ing de bederefi. ,returned to the encampment
116,keremu be akdulame tuwakiyaha.,protected by strengthening the ramparts.
117,juwan ninggun-i yamji,On the evening of the sixteenth 
118,jiyangiy_n manggitu-ni beye juwe tangg_ siliha cooha be gaifi.h_lhai hanci genefi.,General Manggitu personally rode out at the head of 200 select troops.
119,ergide kaicame. cargide burdeme h_lha be burgibuha.,"As they drew closer to the bandits, they frightened them yelling here and blowing the conch there."
120,h_lhai holo jiyangiy_n fan ci han. jan yang. ma ciyang liyei se juwan nadan-i dobori burulaha.,"The false bandit generals Fan Qihan, Zhan Yang, Ma Chenglie, and others fled on the night of the seventeenth. "
121,gereke manggi. jiyangiy_n manggitu ing de emu nirui emte cooha be werifi. amba cooha be gaifi fargade. bi genehe bihe.,"At daybreak General Manggitu, leaving inside the camp one soldier from each company, pursued [them] with the whole army, and I went along, too. "
122,h_lhai amcabufi dahahangge. jiyangiy_n gemu waha ak_ sindaha.,"For those bandits who were pursued and surrendered, the General did not kill them all."
123,dobori dulime ing de bederehe.,we returned to the camp in the middle of the night.
124,jiyangiy_n manggitu oncoi baktambume. musei cooha be umai sehe ak_.,"General Manggitu was lenient and forgiving, and without saying anything at all about our soldiers"
125,juwe tumen isire h_lha be ambarame gidafi waha.,"defeated and killed a mass of up to 20,000 rebel soldiers."
126,juwan ninggun-i dobori h_lha burulafi. fargame amcafi ambula waha.,"when the rebels fled on the night of the sixteenth, we pursued them capturing and killing many."
127,sufan duin. tu kiru. poo. miyoocan. ambula baha seme wesimbuhe:,"reported we had captured four elephants, and standards, flags, cannon, and muskets in great quantity."
128,orin nadan de feyelehe. nimere janggin cooha be. jiyangiy_n gosime nan ning de unggirede holtome genehengge umesi labdu.,"On the twenty-seventh, when the general mercifully sent the wounded and sick officers and soldiers to Nanning, there were a great number who went back by pretending."
129,ninggun biyai ice juwe de.,"On the second day of the sixth month,"
130,jiyangiy_n manggitu cooha be gaifi jortai elhememe. inenggidari damu g_sin ba yabume. _a moo san be dulefi tataha .,"General Manggitu at the head of the army deliberately slowed the march, advancing only 30 li per day, and set up the encampment after crossing the Shamao Mountain."
131,kemungge cin wang-ni cooha be loo r'ung hiyan de isinaha seme boolaha.,A report arrived that the soldiers of the Frugal Prince of the Blood had reached Luorong county.
132,ice ilan de da kiyoo de tatafi.,On the third we set up camp at Da Qiao.
133,_ang ban hiyang ni tusy dahame jifi. li ga_an-i tusy be h_lha de dayafi bihe seme alafi.,"When the chieftain of Shangban village came to surrender, he reported that the chief of Li village had associated himself with the rebels."
134,niowanggiyan tube unggifi. poo simdame efulebuhe.,"dispatched Green Standard troops, who bombarded with cannon and destroyed it."
135,juwe inenggi indehede. kubuhe _anggiyan-i bayara emken beye k_walapi. guwan mafa wasinjiha seme.,"We were resting for a couple of days when the whole body of a bayara guard of the Bordered White changed, and said that the Great Ancestor Guan had descended. "
136,jiyangiy_n manggitu genefi. hengkileme turgun be fonjiha.,General Manggitu came and kneeling to ask the reason
137,bi ere ganio kai sehe.,I said that this was really extraordinary.
138,daci jiyangiy_n guwan enduri nirugan be gaifi yabume. inenggidari hengkilembi.,"Originally, the general carried with him an image of the god Guandi, and prostrated every day."
139,ice ninggun be jurafi. be sa be dulefi.,On the sixth we set out and passed Bosa. 
140,ice jak_n de giyang geo ci orin bai dubede tataha.,On the eighth we set up camp 20 li from Jiangkou.
141,too deng. giyang keo-i siden emu tangg_ jak_nju babe yabuha.,Between Taodeng and Jiangkou we covered 180 li.
142,ice uy_n de dzungdu gin. tidu jelken giyang keo de isinjiha.,On the ninth Governor-general Jin and Provincial Commander-in-Chief Jelken reached Jiangkou.
143,anda wang be hesei uba_ambi seme jafara jakade. fejergi cooha samsifi tabcilame. dahabuci jiderak_ seme donjifi sesulaha.,"I was surprised to hear that, since the Anda Prince had been arrested by imperial edict on a charge of rebellion, the troops under his command had scattered and gone plundering and did not obey the order to surrender."
144,juwan de jiyangiy_n manggitu. juwan da funcere amba jabjan be waha.,On the tenth General Manggitu killed a large python long over 10 da.
145,guwa hendume. jabjan serengge mang kai. waci jiyangiy_n de ehe sehe.,Some people said: “A python is called mang. Evil to the general for killing it.”
146,juwan emude birai dalin de ibefi. ,On the eleventh we advanced to the bank of the river.
147,juwan juwe de hebe_efi. giyang keo-i bakcin-i dalin-i ing-ni h_lha be emu dobori poo sindabuha.,"On the twelfth, after holding consultations, it was decided that we would bombard for the whole night the rebels’ encampment on the opposite bank from Jiangkou. "
148,bi uksilehei fiyanjilaha.,I stood ready in the rear guard in full armor.
149,baitak_ ofi. jiyangiy_n bira doofi siyang jeo be gaifi. h_lhai i amargi be lashalaki seme hebdeme toktobuha.,"Since nothing happened, it was decided that the general would cross the river and occupy Xiangzhou in order to cut off the rear route of the bandits."
150,juwan nadan de jak_n g_sa meni meni cuwan dendeme gaifi. sasari doome. ,On the seventeenth each of the Eight Banners obtained its share of boats and crossed the river all together. 
151,mini beye dobon dulin de dooha.,I myself crossed in the middle of the night.
152,juwan jak_n de jurafi. tofohon ba yabufi. tataha.,"Having set out on the eighteenth, we camped after a march of 15 li. "
153,giyang keo-i h_lha alime muterak_. lio jeo-i baru burulaha.,"The bandits in Jiangkou were not able to hold up, and they fled towards Liuzhou."
154,juwan uju de g_sin sunja ba yabufi tataha.,On the nineteenth we camped after marching for 35 li.
155,lio jeo-i jyfu dahame jifi. uba_aha h_lha ma ciyang yen-i dahara bithe be. jiyangiy_n de alibuha.,"The prefect of Liuzhou came to surrender, and presented to the General a letter of submission from the bandit Ma Chengyin."
156,orin de orin sunja ba yabufi.,"On the twentieth we marched 25 li,"
157,siyang jeo de isinafi tuwaci. h_lha aifini burulahabi.,reached Xiangzhou. There we realized that the rebels had fled earlier on. 
158,irgen be toktobume fafan selgiyehe.,We issued regulations to pacify the local people.
159,orin emude jiyangiy_n. ambasa hebe_efi. siyang jeo-i giyang be doorede. bi geli dobori dulime dooha.,"On the twenty-first the general consulted with the high officers, then we crossed the river in Xiangzhou. Once more I crossed it during the night."
160,orin juwede kemungge cin wang-ni unggihe bithede. uba_aha h_lha ma ciyang yen uju fusifi. doron ejehe benjime dahaha. jiyangiy_n manggitu si h_dun hahilame jifi hebe_eme toktobuki sehebi.,"On the twenty-second a document sent by the Frugal Prince of the Blood said: “The rebel Ma Chengyin has shaved his head in submission, and handed over his seal and imperial diploma. General Manggitu, you must come here at once to consult and deliberate.”"
161,jiyangiy_n manggitu nimeme ofi. orin de jurafi. elheken emu tangg_ g_sin sunja babe yabufi.,"Because General Manggitu had fallen ill, we set out on the twentieth, but proceeded slowly for 135 li."
162,orin ninggude lio jeo de isinafi. ,On the twenty-sixth we reached Liuzhou.
163,jiyangiy_n nimeme ofi. wang de acame muteheku.,"Since the general was ill, he was unable to meet with the prince,"
164,hebei ambasa be gajif i hendume. musei cooha y_n nan be gaime dosire be dahame. lio jeo be musei dara ba waka. coohai tere cuwan-i babe gisure sere jakade.hebei ambasa. wang-ni jakade acanafi turgun be alaha.,"summoned the councilors and said, “If our army is to advance and capture Yunnan, Liuzhou is not a place we should care about. Discuss the matter of the boats to accommodate the soldiers.” Thereupon the councilors met with the Prince and reported on the situation. "
165,bi juwe jergi hoton de dosifi tuwaci. wang-ni cooha. poo gaifi tere jakade. ma ciyang yen-i cooha dele fejile hafirame tehebi.,"I entered the city twice, and found out that, after the troops of the Prince had placed their artillery pieces into position, the soldiers of Ma Chengyin were being been pressed from above and below. "
166,dahaha holo jiyangiy_n huwang ming. ye bing jung-ni jergi dehi funcere hafan be wafi. boigon be talafi. hehe juse be hebei ambasa. k_waran-i dasa de dendefi buhe.,"Though the false generals Huang Ming and Ye Bingzhong had surrendered, they had been killed together with another forty officers, and their household properties, women, and children had been confiscated and divided up among our councilors and camp commanders."
167,bi donjifi ere icihiyahangge waka kai sehe.,I heard this and thought that this was not the way to keep order.
168,nadan biyai ice de jiyangiy_n nimeme ujelefi.,On the first day of the seventh month the general’s illness grew worse.
169,dzungdu gin guwang dzu-i emgi cuwan tefi. duin tangg_ manju cooha be gaifi. muke be juraka.,"Staying in the same boat as Governor-general Jin Guangzu, he set off by river route with 400 Manchu soldiers."
170,ice juwede hife. lebei. ehene se amba cooha be gaifi. olhon be jurafi.,"On the second, Hife, Lebei, and Ehene at the head of the greater part of the army set out by land."
171,ice jak_n de lai bin hiyan-i sohon turanggi bira de doore de. tuwahai gulu suwayan-i emu cuwan ubaliyafi. g_sin funcere bayara. uksin kutule mukede tuhefi bucehe. ,"On the eighth, while crossing the Sohon Turanggi River in Lai Bin County, a boat of the Plain Yellow Banner capsized and over thirty bayara guards, armored soldiers, and servants fell into the water and drowned."
172,juwe inenggi indefi giran baibuha.,We rested for two days and recovered the .
173,juwan emude jurafi too deng be dulerede tuwaci. ing k_waran keremu an-i bi.,"On the eleventh we set out and, as we passed Taodeng, we saw that the encampment and camp walls were still there."
174,bin jeo de bele gaifi. kun luwan guwan be tucifi.,"We got food in Binzhou, and then went through the Kunlun Pass."
175,juwan duin de nan ning fude isinaha.,On the fourteenth we reached the Prefectural City of Nanning.
176,lin jeo. nan ning fui siden sunja tangg_ orin ba be yabuha.,Between Liuzhou and Nanning we had covered 520 li.
177,orin jak_nde jiyangiy_n ufarafi acanahade. jak_n g_sai kutule ci wesihun. niowanggiyan tu. irgen gemu gasarak_ngge ak_.,"On the twenty-eighth the general passed away. At his funeral, from the servants to the higher ranks of the Eight Banners, to the Green Standard soldiers, and to the common people, there was no one who did not grieve. "
178,giran benerede niyalma tugi gese isafi.,"When [his] remains were sent off, the people gathered like clouds, "
179,irgen se hoo_an jiha dejime. doose. ho_ang inu songgoho. ging h_laha.,"the civilians burned paper money, and even the Taoist priests and monks wept and read scriptures aloud."
180,jak_n biyai dolo hoo_an. ba_i. _ota emu siran-i ufaraha.,"In the eighth month Hoo_an, Ba_i, and _ota died one after another. "
181,mini kutule damu bayartu. manca. hondai. huijeo. maitu funcehebi.,"Only my servants Bayartu, Manca, Hondai, Huijeo, and Maitu remained."
182,morin orin funcehe bucehe.,Over twenty horses died.
183,bi ambula ali_ame yaburede kutule hibcan. morin ak_ ainara seme. jibehun-i dolo akame songgombi.,"I was greatly distressed, and thought, “How am I going to go on now that the servants are few and I have no horses?” I wept in sorrow under the blanket."
184,umai araha ak_ ofi. bi inenggidari omimbi. hehe be inu uncafi morin udaha.,Since there was absolutely nothing that could be done I drank every day and even sold a woman to buy horses.
185,orin de g_sai ejen hife. jiha efire. arki nure omire. loho asharak_ oci. nambuha be tuwame weile arambi seme fafulaha.,"On the twentieth, Lieutenant-general Hife issued an order that those caught in gambling, drinking alcohol, and not wearing swords, would be punished."
186,anagan-i jak_n biyai ice de.,"On the first day of the eighth intercalary month,"
187,hife se hebe acafi. jiyangiy_n geli ufaraha. cooha mohoho turgun be wesimbuki seme gisurefi.,Hife and others held a meeting to report to the emperor that the general had died and that the troops were exhausted.
188,y_n nan be gaime dosici. coohai morin wajifi. sonjoci arkan emu nirui sunjata ton-i cooha be bahambi seme wesimbuhe.,"They also memorialized that if they were to advance and take Yunnan, once all the army’s horses had been used up, one would scarcely manage to select five soldiers out of each company."
189,juwan emude beging-ni hoton de ambarame na a__aha. ambula hiya seme donjifi. ,"On the eleventh we heard of a big earthquake in the city of Beijing, and of a great drought."
190,bi ambula tuksitehe.,I became very worried.
191,juwan ilan de nan ning-ni hoton-i dorgi tuwa dafi. guwali inu tuwa daha.,On the thirteenth there was a fire inside Nanning city that extended even to the suburbs.
192,orin de jurgan-i unggihe bithede. g_sai ejen lebei be jiyangiy_n sindaha sehebi.,"On the twentieth, in a document sent by the Ministry, it was said that Lieutenant-general Lebei was to be appointed as our new Field Marshal."
193,g_wa hendume juken sehe:,The others said it was just right.
