ID,Manchu,English,Source,Comment
120,hūlhai holo jiyangiyūn fan ci han. jan yang. ma ciyang liyei se juwan nadan-i dobori burulaha.,"The false bandit generals Fan Qihan, Zhan Yang, Ma Chenglie, and others fled on the night of the seventeenth. ",,
121,gereke manggi. jiyangiyūn manggitu ing de emu nirui emte cooha be werifi. amba cooha be gaifi fargade. bi genehe bihe.,"At daybreak General Manggitu, leaving inside the camp one soldier from each company, pursued [them] with the whole army, and I went along, too. ",,Correct Manchu spelling to fargade based on modern orthography
122,hūlhai amcabufi dahahangge. jiyangiyūn gemu waha akū sindaha.,"For those bandits who were pursued and surrendered, the General did not kill them all.",,Change the translation to better align with the Manchu context
123,dobori dulime ing de bederehe.,we returned to the camp in the middle of the night.,,
124,jiyangiyūn manggitu oncoi baktambume. musei cooha be umai sehe akū.,"General Manggitu was lenient and forgiving, and without saying anything at all about our soldiers",,
125,juwe tumen isire hūlha be ambarame gidafi waha.,"defeated and killed a mass of up to 20,000 rebel soldiers.",,
126,juwan ninggun-i dobori hūlha burulafi. fargame amcafi ambula waha.,"when the rebels fled on the night of the sixteenth, we pursued them capturing and killing many.",,
127,sufan duin. tu kiru. poo. miyoocan. ambula baha seme wesimbuhe:,"reported we had captured four elephants, and standards, flags, cannon, and muskets in great quantity.",,
128,orin nadan de feyelehe. nimere janggin cooha be. jiyangiyūn gosime nan ning de unggirede holtome genehengge umesi labdu.,"On the twenty-seventh, when the general mercifully sent the wounded and sick officers and soldiers to Nanning, there were a great number who went back by pretending.",,
129,ninggun biyai ice juwe de.,"On the second day of the sixth month,",,
130,jiyangiyūn manggitu cooha be gaifi jortai elhememe. inenggidari damu gūsin ba yabume. ša moo san be dulefi tataha .,"General Manggitu at the head of the army deliberately slowed the march, advancing only 30 li per day, and set up the encampment after crossing the Shamao Mountain.",,
131,kemungge cin wang-ni cooha be loo r'ung hiyan de isinaha seme boolaha.,A report arrived that the soldiers of the Frugal Prince of the Blood had reached Luorong county.,,
132,ice ilan de da kiyoo de tatafi.,On the third we set up camp at Da Qiao.,,
133,šang ban hiyang ni tusy dahame jifi. li gašan-i tusy be hūlha de dayafi bihe seme alafi.,"When the chieftain of Shangban village came to surrender, he reported that the chief of Li village had associated himself with the rebels.",,
134,niowanggiyan tube unggifi. poo simdame efulebuhe.,"dispatched Green Standard troops, who bombarded with cannon and destroyed it.",,
135,juwe inenggi indehede. kubuhe šanggiyan-i bayara emken beye kūwalapi. guwan mafa wasinjiha seme.,"We were resting for a couple of days when the whole body of a bayara guard of the Bordered White changed, and said that the Great Ancestor Guan had descended. ",,
136,jiyangiyūn manggitu genefi. hengkileme turgun be fonjiha.,General Manggitu came and kneeling to ask the reason,,"Corrected the translation from ""...and asked the reason for kneeling"""
137,bi ere ganio kai sehe.,I said that this was really extraordinary.,,
138,daci jiyangiyūn guwan enduri nirugan be gaifi yabume. inenggidari hengkilembi.,"Originally, the general carried with him an image of the god Guandi, and prostrated every day.",,
139,ice ninggun be jurafi. be sa be dulefi.,On the sixth we set out and passed Bosa. ,,
140,ice jakūn de giyang geo ci orin bai dubede tataha.,On the eighth we set up camp 20 li from Jiangkou.,,
141,too deng. giyang keo-i siden emu tanggū jakūnju babe yabuha.,Between Taodeng and Jiangkou we covered 180 li.,,
142,ice uyūn de dzungdu gin. tidu jelken giyang keo de isinjiha.,On the ninth Governor-general Jin and Provincial Commander-in-Chief Jelken reached Jiangkou.,,
143,anda wang be hesei ubašambi seme jafara jakade. fejergi cooha samsifi tabcilame. dahabuci jiderakū seme donjifi sesulaha.,"I was surprised to hear that, since the Anda Prince had been arrested by imperial edict on a charge of rebellion, the troops under his command had scattered and gone plundering and did not obey the order to surrender.",,
144,juwan de jiyangiyūn manggitu. juwan da funcere amba jabjan be waha.,On the tenth General Manggitu killed a large python long over 10 da.,,
145,guwa hendume. jabjan serengge mang kai. waci jiyangiyūn de ehe sehe.,Some people said: “A python is called mang. Evil to the general for killing it.”,,
146,juwan emude birai dalin de ibefi. ,On the eleventh we advanced to the bank of the river.,,
147,juwan juwe de hebešefi. giyang keo-i bakcin-i dalin-i ing-ni hūlha be emu dobori poo sindabuha.,"On the twelfth, after holding consultations, it was decided that we would bombard for the whole night the rebels’ encampment on the opposite bank from Jiangkou. ",,
148,bi uksilehei fiyanjilaha.,I stood ready in the rear guard in full armor.,,
149,baitakū ofi. jiyangiyūn bira doofi siyang jeo be gaifi. hūlhai i amargi be lashalaki seme hebdeme toktobuha.,"Since nothing happened, it was decided that the general would cross the river and occupy Xiangzhou in order to cut off the rear route of the bandits.",,
150,juwan nadan de jakūn gūsa meni meni cuwan dendeme gaifi. sasari doome. ,On the seventeenth each of the Eight Banners obtained its share of boats and crossed the river all together. ,,
151,mini beye dobon dulin de dooha.,I myself crossed in the middle of the night.,,
152,juwan jakūn de jurafi. tofohon ba yabufi. tataha.,"Having set out on the eighteenth, we camped after a march of 15 li. ",,
153,giyang keo-i hūlha alime muterakū. lio jeo-i baru burulaha.,"The bandits in Jiangkou were not able to hold up, and they fled towards Liuzhou.",,
154,juwan uju de gūsin sunja ba yabufi tataha.,On the nineteenth we camped after marching for 35 li.,,
155,lio jeo-i jyfu dahame jifi. ubašaha hūlha ma ciyang yen-i dahara bithe be. jiyangiyūn de alibuha.,"The prefect of Liuzhou came to surrender, and presented to the General a letter of submission from the bandit Ma Chengyin.",,
156,orin de orin sunja ba yabufi.,"On the twentieth we marched 25 li,",,
157,siyang jeo de isinafi tuwaci. hūlha aifini burulahabi.,reached Xiangzhou. There we realized that the rebels had fled earlier on. ,,
158,irgen be toktobume fafan selgiyehe.,We issued regulations to pacify the local people.,,
159,orin emude jiyangiyūn. ambasa hebešefi. siyang jeo-i giyang be doorede. bi geli dobori dulime dooha.,"On the twenty-first the general consulted with the high officers, then we crossed the river in Xiangzhou. Once more I crossed it during the night.",,
160,orin juwede kemungge cin wang-ni unggihe bithede. ubašaha hūlha ma ciyang yen uju fusifi. doron ejehe benjime dahaha. jiyangiyūn manggitu si hūdun hahilame jifi hebešeme toktobuki sehebi.,"On the twenty-second a document sent by the Frugal Prince of the Blood said: “The rebel Ma Chengyin has shaved his head in submission, and handed over his seal and imperial diploma. General Manggitu, you must come here at once to consult and deliberate.”",,
161,jiyangiyūn manggitu nimeme ofi. orin de jurafi. elheken emu tanggū gūsin sunja babe yabufi.,"Because General Manggitu had fallen ill, we set out on the twentieth, but proceeded slowly for 135 li.",,
162,orin ninggude lio jeo de isinafi. ,On the twenty-sixth we reached Liuzhou.,,
163,jiyangiyūn nimeme ofi. wang de acame muteheku.,"Since the general was ill, he was unable to meet with the prince,",,
164,hebei ambasa be gajif i hendume. musei cooha yūn nan be gaime dosire be dahame. lio jeo be musei dara ba waka. coohai tere cuwan-i babe gisure sere jakade.hebei ambasa. wang-ni jakade acanafi turgun be alaha.,"summoned the councilors and said, “If our army is to advance and capture Yunnan, Liuzhou is not a place we should care about. Discuss the matter of the boats to accommodate the soldiers.” Thereupon the councilors met with the Prince and reported on the situation. ",,
165,bi juwe jergi hoton de dosifi tuwaci. wang-ni cooha. poo gaifi tere jakade. ma ciyang yen-i cooha dele fejile hafirame tehebi.,"I entered the city twice, and found out that, after the troops of the Prince had placed their artillery pieces into position, the soldiers of Ma Chengyin were being been pressed from above and below. ",,
166,dahaha holo jiyangiyūn huwang ming. ye bing jung-ni jergi dehi funcere hafan be wafi. boigon be talafi. hehe juse be hebei ambasa. kūwaran-i dasa de dendefi buhe.,"Though the false generals Huang Ming and Ye Bingzhong had surrendered, they had been killed together with another forty officers, and their household properties, women, and children had been confiscated and divided up among our councilors and camp commanders.",,
167,bi donjifi ere icihiyahangge waka kai sehe.,I heard this and thought that this was not the way to keep order.,,
168,nadan biyai ice de jiyangiyūn nimeme ujelefi.,On the first day of the seventh month the general’s illness grew worse.,,
169,dzungdu gin guwang dzu-i emgi cuwan tefi. duin tanggū manju cooha be gaifi. muke be juraka.,"Staying in the same boat as Governor-general Jin Guangzu, he set off by river route with 400 Manchu soldiers.",,
170,ice juwede hife. lebei. ehene se amba cooha be gaifi. olhon be jurafi.,"On the second, Hife, Lebei, and Ehene at the head of the greater part of the army set out by land.",,
171,ice jakūn de lai bin hiyan-i sohon turanggi bira de doore de. tuwahai gulu suwayan-i emu cuwan ubaliyafi. gūsin funcere bayara. uksin kutule mukede tuhefi bucehe. ,"On the eighth, while crossing the Sohon Turanggi River in Lai Bin County, a boat of the Plain Yellow Banner capsized and over thirty bayara guards, armored soldiers, and servants fell into the water and drowned.",,Added missing translation
172,juwe inenggi indefi giran baibuha.,We rested for two days and recovered the .,,
173,juwan emude jurafi too deng be dulerede tuwaci. ing kūwaran keremu an-i bi.,"On the eleventh we set out and, as we passed Taodeng, we saw that the encampment and camp walls were still there.",,
174,bin jeo de bele gaifi. kun luwan guwan be tucifi.,"We got food in Binzhou, and then went through the Kunlun Pass.",,
175,juwan duin de nan ning fude isinaha.,On the fourteenth we reached the Prefectural City of Nanning.,,
176,lin jeo. nan ning fui siden sunja tanggū orin ba be yabuha.,Between Liuzhou and Nanning we had covered 520 li.,,
177,orin jakūnde jiyangiyūn ufarafi acanahade. jakūn gūsai kutule ci wesihun. niowanggiyan tu. irgen gemu gasarakūngge akū.,"On the twenty-eighth the general passed away. At his funeral, from the servants to the higher ranks of the Eight Banners, to the Green Standard soldiers, and to the common people, there was no one who did not grieve. ",,
178,giran benerede niyalma tugi gese isafi.,"When [his] remains were sent off, the people gathered like clouds, ",,
179,irgen se hoošan jiha dejime. doose. hošang inu songgoho. ging hūlaha.,"the civilians burned paper money, and even the Taoist priests and monks wept and read scriptures aloud.",,Added missing translation of irgen
180,jakūn biyai dolo hoošan. baši. šota emu siran-i ufaraha.,"In the eighth month Hoošan, Baši, and Šota died one after another. ",,
181,mini kutule damu bayartu. manca. hondai. huijeo. maitu funcehebi.,"Only my servants Bayartu, Manca, Hondai, Huijeo, and Maitu remained.",,
182,morin orin funcehe bucehe.,Over twenty horses died.,,
